ID,Position
BookTable1,437_-270
BookTable2,507_-306
BookTable3,507_-274
BookTable4,507_-242
BookTable5,550_-306
BookTable6,550_-274
BookTable7,550_-242
BookTable8,614_-323
BookTable9,614_-300
BookTable10,615_-259
BookTable11,615_-236
BookTable12,650_-323
BookTable13,650_-300
BookTable14,651_-259
BookTable15,651_-236
BookTable16,620_93
BookTable17,617_176
BookTable18,725_175
BookTable19,770_184
BookTable20,770_82
BookTable21,360_295
BookTable22,346_397
BookTable23,217_420
BookTable24,-225_425
BookTable25,-354_402
BookTable26,-372_300
BookTable27,-470_342
BookTable28,-620_342
BookTable29,-701_341
BookTable30,-734_342
BookTable31,-857_342
BookTable32,-784_217
BookTable33,-758_218
BookTable34,-675_219
BookTable35,-704_-325
BookTable36,-609_-326
BookTable37,-479_-328
BookTable38,95_-384
BookTable39,189_-385
BookTable40,319_-387
CafeWork1,
CafeTable1,607_-159
CafeTable2,627_-159
CafeTable3,648_-159
CafeTable4,607_-123
CafeTable5,627_-123
CafeTable6,648_-123
CafeTable7,669_37
CafeTable8,669_58
CafeTable9,669_78
CafeTable10,705_37
CafeTable11,705_58
CafeTable12,705_78
CafeTable13,271_313
CafeTable14,271_334
CafeTable15,235_313
CafeTable16,235_334
CafeTable17,-243_318
CafeTable18,-243_339
CafeTable19,-279_318
CafeTable20,-279_339
CafeTable21,-527_210
CafeTable22,-527_230
CafeTable23,-527_251
CafeTable24,-563_210
CafeTable25,-563_230
CafeTable26,-563_251
CafeTable27,-479_-260
CafeTable28,-479_-239
CafeTable29,-515_-260
CafeTable30,-515_-239
CafeTable31,-575_-260
CafeTable32,-575_-239
CafeTable33,-611_-260
CafeTable34,-611_-239
CafeTable35,-673_-259
CafeTable36,-673_-238
CafeTable37,-709_-259
CafeTable38,-709_-238
CafeTable39,-251_-372
CafeTable40,-251_-336
CafeTable41,-253_-283
CafeTable42,-253_-247
CafeTable43,-205_-384
CafeTable44,-175_-350
CafeTable45,-152_-350
CafeTable46,-130_-350
CafeTable47,-107_-350
CafeTable48,-170_-309
CafeTable49,-171_-277
CafeTable50,-136_-308
CafeTable51,-133_-276
CafeTable52,93_-318
CafeTable53,93_-297
CafeTable54,129_-318
CafeTable55,129_-297
CafeTable56,187_-319
CafeTable57,187_-298
CafeTable58,223_-319
CafeTable59,223_-298
CafeTable60,283_-319
CafeTable61,283_-298
CafeTable62,319_-319
CafeTable63,319_-298
Bed1,541_67
Bed2,611_253
Bed3,719_254
Bed4,841_176
Bed5,841_74
Bed6,320_331
Bed7,283_416
Bed8,259_416
Bed9,-267_421
Bed10,-291_421
Bed11,-328_336
Bed12,-535_394
Bed13,-559_395
Bed14,-647_394
Bed15,-778_394
Bed16,-802_395
Bed17,-850_199
Bed18,-701_206
Bed19,-602_205
Bed20,-652_-326
Bed21,-557_-329
Bed22,-531_-329
Bed23,147_-384
Bed24,242_-388
Bed25,266_-388
FoodTable1,134_2
FoodTable2,134_23
FoodTable3,133_58
FoodTable4,170_2
FoodTable5,170_23
FoodTable6,169_58
FoodTable7,191_2
FoodTable8,191_23
FoodTable9,191_57
FoodTable10,227_2
FoodTable11,227_23
FoodTable12,227_57
FoodTable13,250_3
FoodTable14,250_24
FoodTable15,250_58
FoodTable16,286_3
FoodTable17,286_24
FoodTable18,286_58
FoodTable19,174_114
FoodTable20,196_114
FoodTable21,218_114
FoodTable22,240_114
FoodTable23,262_114
FoodTable24,287_114
FoodTable25,309_114
Fit1,60_444
Fit2,24_444
Fit3,-12_444
Fit4,-48_444
Fit5,-84_444
Fit6,-84_277
Fit7,-48_277
Fit8,-12_277
Fit9,24_277
Fit10,60_277
Fit11,53_343
Fit12,53_383
Fit13,-78_383
Fit14,-78_343
Chair1,-658_-51
Chair2,-638_-51
Chair3,-619_-51
Chair4,-658_129
Chair5,-638_129
Chair6,-619_129
Shelf1,-229_50
Shelf2,-206_50
Shelf3,-184_50
Shelf4,-161_50
Shelf5,-229_107
Shelf6,-206_107
Shelf7,-184_107
Shelf8,-161_107
